WALIS Other chronology ID,Is this datapoint public?,Short name,Dating technique,Description,Upper age (ka),Lower age (ka),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reference(s),Record created by,Record updated by,Last Update
73,1,"Ge 72, 3769A",Radiocarbon,Sample of Acropora palmata coral radiocarbon sampled at 1.5m asl,26.69,25.34,Older than,MIS 1,age represents a minimum age ,"Geister,1972
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:47:11
74,1,"Ge 72, 4109",Radiocarbon,age was determined with a calculated radiocarbon sample from a Dendrogyra cylindrus coral collected at 6.0 m asl,33.7,32.23,Older than,MIS 1,,"Geister,1972
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:47:19
75,1,KP-IV,Stratigraphic Correlation,Stratigraphic correlation between Toya Tephra (112-115) and post MIS 5e sea level indicators,120.0,115.0,,N/A,,"Machida et al., 1987
 Tam and Yokoyama, 2021",Evan Tam,,2020-10-07 02:15:11
76,1,Toya Tephra,Fission Track and Stratigraphic Correlation,Tephra layer sourced from the Toya volcano in Central Hokkaido,115.0,112.0,Equal to,N/A,,"Machida et al., 1987
 Machida, 2002
 Tam and Yokoyama, 2021",Evan Tam,,2020-10-07 04:02:30
77,1,AT Tephra,Carbon 14 Dating,"Aira-Tanzawa tephra, from Aira caldera in southern Kyushu. ",25.0,22.0,Equal to,MIS 2,,"Machida, 2002
 Tam and Yokoyama, 2021",Evan Tam,,2020-10-07 06:11:48
78,1,Aso-4,K-Ar dating,Tephra layer from Aso Volcano (Kyushu) ,87.3,86.8,Equal to,MIS 5,,"Machida, 2002
 Tam and Yokoyama, 2021",Evan Tam,Evan Tam,2020-10-07 07:50:41
79,1,To-H,Carbon Dating,"Towada - H tephra layer, associated with Northern Honshu",0.0,0.0,Equal to,MIS 2,,"Tam and Yokoyama, 2021",Evan Tam,,2020-10-07 08:05:20
80,1,Kc-Hb,Fission Track,"Kutcharo Volcano ash, over eastern Hokkaido",115.0,110.0,Equal to,N/A,,"Tam and Yokoyama, 2021",Evan Tam,,2020-10-07 11:44:32
81,1,DKP,"Carbon 14 dating, Uranium-Thorium Dating","Daisen-Kurayoshi Tephra layer, sourced from the Daisen Volcano in Western Honshu",0.0,55.0,Equal to,MIS 3,,"Machida, 2002
 Tam and Yokoyama, 2021",Evan Tam,,2020-10-08 02:52:30
82,1,SK,Stratigraphic Correlation,"Sambe-Kisuki tephra layer, sourced from the Sambe volcano in western Honshu",115.0,110.0,Equal to,MIS 5,,"Machida, 2002
 Tam and Yokoyama, 2021",Evan Tam,,2020-10-08 02:56:27
83,1,Ata,"K-Ar, Stratigraphic Correlation",Ata tephra sourced from the Ata volcano in central Kyushu,105.0,110.0,Equal to,MIS 5,,"Machida, 2002
 Tam and Yokoyama, 2021",Evan Tam,,2020-10-08 03:09:00
